Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Effects of inaudible binaural beats on visuospatial memory.","Kim, Ye-Jin; Kim, Kyu-Beom; Kim, Ji-Su; Kim, Hyung-Sik; Choi, Mi-Hyun; Yi, Jeong-Han; Chung, Soon-Cheol","NeuroReport: For Rapid Communication of Neuroscience Research",="09594965",,="20230607","34","10","501","5","2023-80136-002","10.1097/WNR.0000000000001916","Lippincott Williams & Wilkins","Journal Article","Alpha Rhythm; Auditory Stimulation; Brain Stimulation; Electroencephalography; Reaction Time; Visuospatial Memory; Adulthood (18 yrs & older); Male; Female",,"Objectives: Binaural beats are auditory beat stimulation that produces sounds and induces a specific state of brain wave based on the difference in the frequency of stimulation. This study aimed to investigate the effects of inaudible binaural beats on visuospatial memory at 18 000 Hz reference and 10 Hz difference frequencies. Methods: Eighteen adult subjects in their twenties were enrolled, including 12 males (mean age: 23.8 ± 1.2) and 6 females (mean age: 22.8 ± 0.8). An auditory stimulator providing 10 Hz binaural beats stimulation via 18 000 Hz to the left and 18 010 Hz to the right ears was used. The experiment consisted of two 5-min phases, including a rest phase and a task phase involving task performance without (Task-only) and with binaural beats stimulation (Task+BB). A 3-back task was used to measure visuospatial memory. Cognitive ability measured by task performance (accuracy and reaction time) with and without binaural beats, as well as variations in alpha power across different brain domains, were compared using paired t-tests. Results: Compared to the Task-only condition, the Task+BB condition had significantly higher accuracy and significantly shorter reaction time. The electroencephalogram analysis showed that the reduction level in alpha power for the task performance under the Task+BB condition was significantly lower in all brain areas except the frontal, compared to that under the Task-only condition. Conclusion: The significance of this study lies in having verified the independent effects of binaural beats stimulation without any auditory influence, based on visuospatial memory. 202379775 (PsycInfo Database Record (c) 2023 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2023-80136-002&lang=es&site=ehost-live"
"Electrical brain responses to an auditory illusion and the impact of musical expertise.","Ioannou, Christos I.; Pereda, Ernesto; Lindsen, Job P.; Bhattacharya, Joydeep","PLoS ONE",="19326203",,="20150612","10","6",,,"2015-27955-001","10.1371/journal.pone.0129486","Public Library of Science","Journal Article","Brain; Electrical Activity; Experience Level; Illusions (Perception); Music Perception; Electroencephalography; Musicians; Adulthood (18 yrs & older); Male; Female",,"The presentation of two sinusoidal tones, one to each ear, with a slight frequency mismatch yields an auditory illusion of a beating frequency equal to the frequency difference between the two tones; this is known as binaural beat (BB). The effect of brief BB stimulation on scalp EEG is not conclusively demonstrated. Further, no studies have examined the impact of musical training associated with BB stimulation, yet musicians' brains are often associated with enhanced auditory processing. In this study, we analysed EEG brain responses from two groups, musicians and non-musicians, when stimulated by short presentation (1 min) of binaural beats with beat frequency varying from 1 Hz to 48 Hz. We focused our analysis on alpha and gamma band EEG signals, and they were analysed in terms of spectral power, and functional connectivity as measured by two phase synchrony based measures, phase locking value and phase lag index. Finally, these measures were used to characterize the degree of centrality, segregation and integration of the functional brain network. We found that beat frequencies belonging to alpha band produced the most significant steady-state responses across groups. Further, processing of low frequency (delta, theta, alpha) binaural beats had significant impact on cortical network patterns in the alpha band oscillations. Altogether these results provide a neurophysiological account of cortical responses to BB stimulation at varying frequencies, and demonstrate a modulation of cortico- cortical connectivity in musicians' brains, and further suggest a kind of neuronal entrainment of a linear and nonlinear relationship to the beating frequencies. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2015-27955-001&lang=es&site=ehost-live"
"Event-related potentials to single-cycle binaural beats and diotic amplitude modulation of a tone.","Ungan, Pekcan; Yagcioglu, Suha; Ayik, Ece","Experimental Brain Research",="00144819",,="20190801","237","8","1931","15","2019-41577-002","10.1007/s00221-019-05562-7","Springer","Journal Article","Electroencephalography; Evoked Potentials; Masking; Responses; Stimulation; Ear (Anatomy); Subliminal Perception; Subliminal Stimulation; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"When two tones with slightly different frequencies are dichotically presented, binaural beats (BBs) are experienced. BBs resulting from the cycling change in interaural phase difference elicit electroencephalographic responses. Because they repeat at short periods, allowing poor recovery of the cortical responses, these steady-state responses have small amplitudes, and their various wave components intermingle and might mask each other. Using single-cycle BBs separated by relatively long inter-onset intervals would be a solution, but introducing a transient interaural frequency shift requires response subtraction which may not be acceptable for non-additive brain responses. The proposed stimulation method employs transient and monaurally subthreshold frequency shifts in opposite directions in the two ears to produce single-cycle BBs of a 250 Hz tone. These shifts are perceived as distinct BBs when presented dichotically, but remain subthreshold when presented monotically. Therefore, no frequency-shift response is elicited, and the specific BB response is obtained with no need for waveform subtraction. We recorded from 19 normal hearing participants the event-related potentials (ERPs) to single-cycle BBs and also to temporary diotic amplitude modulation (AM) with matched perceptual salience. The ERPs to single-cycle BBs presented at 2 s inter-onset intervals had N1-P2 responses with up to seven times larger amplitudes than the conventional steady-state BB responses in the literature. Significant differences were found between the scalp potential distributions of the N1 responses to BB and AM stimuli, suggesting that the cortical sites, where envelope-based level processing and temporal fine structure-based spatial processing of the stimulus take place, are not totally overlapped. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2019-41577-002&lang=es&site=ehost-live"
"Exploratory study of the effect of binaural beat stimulation on the EEG activity pattern in resting state using artificial neural networks.","da Silva Junior, Maurício; de Freitas, Rafaela Covello; dos Santos, Wellington Pinheiro; da Silva, Washington Wagner Azevedo; Rodrigues, Marcelo Cairrão Araújo; Conde, Erick Francisco Quintas","Cognitive Systems Research",="22144366",,="20190501","54",,"1","20","2019-02723-002","10.1016/j.cogsys.2018.11.002","Elsevier Science","Journal Article","Anxiety; Auditory Stimulation; Electroencephalography; Physiological Correlates; Artificial Neural Networks; Machine Learning; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Anxiety disorders afflict almost 7.3 percent of the world’s population. One in 14 people will experience anxiety disorder at the given year. When associated with mood disorders, anxiety can also trigger or increase other diseases’ symptoms and effects, like depression and suicidal behavior. Binaural beats are a low-frequency type of acoustic stimulation perceived when the individual is subjected to two slightly different wave frequencies, from 200 to 900 Hz. Binaural beats can contribute to anxiety reduction and modification of other psychological conditions and states, modifying cognitive processes and mood states. In this work, we applied a 5 Hz binaural beat to 6 different subjects, to detect a relevant change in their brainwaves before and after the stimuli. We applied 20 min stimuli in 10 separated sessions. We assessed the differences using a Multi-Layer Perceptron classifier in comparison with non-parametric tests and Low-Resolution Brain Electromagnetic Tomography (eLORETA). eLORETA showed remarkable changes in High Alpha. Both eLORETA and MLP approaches revealed outstanding modifications in high Beta. MLP evinced significant changes in Theta brainwaves. Our study evidenced high Alpha modulation at the limbic lobe, implicating in a possible reduction of sympathetic system activation in the studied sample. Our main results on eLORETA suggest a strong increase in the current distribution, mostly in Alpha 2, at the Anterior Cingulate, which is related to the monitoring of mistakes regarding social conduct, recognition and expression of emotions. We also found that MLPs are able of evincing the main differences with high separability in Delta and Theta. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2019-02723-002&lang=es&site=ehost-live"
"Human auditory steady state responses to binaural and monaural beats.","Schwarz, D. W. F.; Taylor, P.","Clinical Neurophysiology",="13882457",,="20050301","116","3","658","11","2005-04075-008","10.1016/j.clinph.2004.09.014","Elsevier Science","Journal Article","Auditory Cortex; Auditory Evoked Potentials; Auditory Stimulation; Response Frequency; Temporal Lobe; Auditory Localization; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Objective: Binaural beat sensations depend upon a central combination of two different temporally encoded tones, separately presented to the two ears. We tested the feasibility to record an auditory steady state evoked response (ASSR) at the binaural beat frequency in order to find a measure for temporal coding of sound in the human EEG. Methods: We stimulated each ear with a distinct tone, both differing in frequency by 40Hz, to record a binaural beat ASSR. As control, we evoked a beat ASSR in response to both tones in the same ear. We band-pass filtered the EEG at 40Hz, averaged with respect to stimulus onset and compared ASSR amplitudes and phases, extracted from a sinusoidal non-linear regression fit to a 40Hz period average. Results: A 40Hz binaural beat ASSR was evoked at a low mean stimulus frequency (400Hz) but became undetectable beyond 3kHz. Its amplitude was smaller than that of the acoustic beat ASSR, which was evoked at low and high frequencies. Both ASSR types had maxima at fronto-central leads and displayed a fronto-occipital phase delay of several ms. Conclusions: The dependence of the 40Hz binaural beat ASSR on stimuli at low, temporally coded tone frequencies suggests that it may objectively assess temporal sound coding ability. The phase shift across the electrode array is evidence for more than one origin of the 40Hz oscillations. Significance: The binaural beat ASSR is an evoked response, with novel diagnostic potential, to a signal that is not present in the stimulus, but generated within the brain. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2005-04075-008&lang=es&site=ehost-live"
"Intracranial electroencephalography power and phase synchronization changes during monaural and binaural beat stimulation.","Becher, Ann‐Katrin; Höhne, Marlene; Axmacher, Nikolai; Chaieb, Leila; Elger, Christian E.; Fell, Juergen","European Journal of Neuroscience",="0953816X",,="20150101","41","2","254","10","2015-02475-011","10.1111/ejn.12760","Wiley-Blackwell Publishing Ltd.","Journal Article","Auditory Stimulation; Electroencephalography; Epilepsy; Neurotherapy; Adulthood (18 yrs & older); Male; Female",,"Auditory stimulation with monaural or binaural auditory beats (i.e. sine waves with nearby frequencies presented either to both ears or to each ear separately) represents a non‐invasive approach to influence electrical brain activity. It is still unclear exactly which brain sites are affected by beat stimulation. In particular, an impact of beat stimulation on mediotemporal brain areas could possibly provide new options for memory enhancement or seizure control. Therefore, we examined how electroencephalography (EEG) power and phase synchronization are modulated by auditory stimulation with beat frequencies corresponding to dominant EEG rhythms based on intracranial recordings in presurgical epilepsy patients. Monaural and binaural beat stimuli with beat frequencies of 5, 10, 40 and 80 Hz and non‐superposed control signals were administered with low amplitudes (60 dB SPL) and for short durations (5 s). EEG power was intracranially recorded from mediotemporal, temporo‐basal and temporo‐lateral and surface sites. Evoked and total EEG power and phase synchronization during beat vs. control stimulation were compared by the use of Bonferroni‐corrected non‐parametric label‐permutation tests. We found that power and phase synchronization were significantly modulated by beat stimulation not only at temporo‐basal, temporo‐lateral and surface sites, but also at mediotemporal sites. Generally, more significant decreases than increases were observed. The most prominent power increases were seen after stimulation with monaural 40‐Hz beats. The most pronounced power and synchronization decreases resulted from stimulation with monaural 5‐Hz and binaural 80‐Hz beats. Our results suggest that beat stimulation offers a non‐invasive approach for the modulation of intracranial EEG characteristics. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2015-02475-011&lang=es&site=ehost-live"
"Modulation of item and source memory by auditory beat stimulation: A pilot study with intracranial EEG.","Derner, Marlene; Chaieb, Leila; Surges, Rainer; Staresina, Bernhard P.; Fell, Juergen","Frontiers in Human Neuroscience",="16625161",,="20181211","12",,,,"2018-66586-001","10.3389/fnhum.2018.00500","Frontiers Media S.A.","Journal Article","Auditory Stimulation; Brain Stimulation; Long Term Memory; Memory; Stimulation; Electrical Brain Stimulation; Electroencephalography; Epilepsy; Associative Memory; Adulthood (18 yrs & older); Male; Female",,"Auditory beat stimulation is an upcoming technique for non-invasive brain stimulation. Its influence on mediotemporal regions and memory processes has not yet been thoroughly investigated. A recent study suggests that auditory beats are able to alter intracranial EEG (iEEG) power and phase synchronization. 5 Hz binaural beat stimulation increased temporo-lateral phase synchronization, while 5 Hz monaural beat stimulation decreased mediotemporal synchronization. Based on the relevance of phase synchronization for memory operations, we hypothesized that 5 Hz binaural beat stimulation enhances, while 5 Hz monaural beat stimulation decreases long-term memory performance. We analyzed data from presurgical epilepsy patients with implanted depth electrodes in the hippocampus and rhinal cortex. 5 Hz monaural and binaural beat vs. control stimulation was applied while patients performed an associative learning task involving item and source recognition. We evaluated behavioral effects for item (hits minus false alarms) and source memory (correct minus incorrect) and the impact of auditory beats on iEEG power, rhinal-hippocampal phase synchronization and inter-trial phase locking. A three-way repeated measures ANOVA (encoding/retrieval, item/source, monaural/binaural/control) revealed a main effect of stimulation (p = 0.03) and a linear effect in the expected direction: binaural > control > monaural (p = 0.036). Both monaural and binaural stimulation were associated with increased phase locking of 5 Hz oscillations within rhinal cortex. These phase locking increases, however, corresponded to reverse phase shifts. Our data suggest that binaural vs. monaural 5 Hz stimulation increases vs. decreases long-term memory performance. These behavioral effects appear to be related to reverse phase shifts within rhinal cortex. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2018-66586-001&lang=es&site=ehost-live"
"Modulatory effect of association of brain stimulation by light and binaural beats in specific brain waves.","Calomen, Mauricio Rocha; da Silva, Vernon Furtado; Velasque, Bruna Brandão; Feijó, Olavo Guimarães; Bittencourt, Juliana Marques; de Souza e Silva, Alair Pedro Ribeiro","Clinical Practice and Epidemiology in Mental Health",="17450179",,="20170914","13",,,,"2017-42822-001",,"Bentham Science Publishers Ltd.","Journal Article","Auditory Stimulation; Brain Stimulation; Illumination; Parkinson's Disease; Age Differences; Alzheimer's Disease; Autism Spectrum Disorders; Dementia; Intellectual Development Disorder; Childhood (birth-12 yrs); Adulthood (18 yrs & older); Aged (65 yrs & older); Male; Female",,"Introduction: One of the positive effects of brain stimulation is interhemispheric modulation as shown in some scientific studies. This study examined if a type of noninvasive stimulation using binaural beats with led-lights and sound would show different modulatory effects upon Alfa and SMR brain waves of elderlies and children with some disease types. Subjects: The sample included 75 individuals of both genders, being, randomly, divided in 6 groups. Groups were named elderly without dementia diagnosis (EWD), n = 15, 76 ± 8 years, elderly diagnosed with Parkinson’s disease (EDP), n = 15, 72 ± 7 years, elderly diagnosed with Alzheimer’s disease (EDA), n = 15, 81 ± 6 years. The other groups were named children with Autism (CA), n = 10, 11 ± 4 years, children with Intellectual Impairment (CII), n = 10, 12 ± 5 years and children with normal cognitive development (CND), n = 10, 11 ± 4 years. Instruments and procedure: Instruments were the Mini Mental State Examination Test (MMSE), EEG-Neurocomputer instrument for brain waves registration, brain stimulator, Digit Span Test and a Protocol for working memory training. Data collection followed a pre and post-conjugated stimulation version. Results: The results of the inferential statistics showed that the stimulation protocol had different effects on Alpha and SMR brain waves of the patients. Also, indicated gains in memory functions, for both, children and elderlies as related to gains in brain waves modulation. Conclusion: The results may receive and provide support to a range of studies examining brain modulation and synaptic plasticity. Also, it was emphasized in the results discussion that there was the possibility of the technique serving as an accessory instrument to alternative brain therapies. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2017-42822-001&lang=es&site=ehost-live"
"Neural consequences of binaural beat stimulation on auditory sentence comprehension: An EEG study.","Kim, Jeahong; Kim, Hyun-Woong; Kovar, Jessica; Lee, Yune Sang","Cerebral Cortex",="10473211",,="20240101","34","1","1","9","2024-51130-059","10.1093/cercor/bhad459","Oxford University Press","Journal Article","Auditory Perception; Auditory Stimulation; Electroencephalography; Sentence Comprehension; Stimulation; Beta Rhythm; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"A growing literature has shown that binaural beat (BB)—generated by dichotic presentation of slightly mismatched pure tones—improves cognition. We recently found that BB stimulation of either beta (18 Hz) or gamma (40 Hz) frequencies enhanced auditory sentence comprehension. Here, we used electroencephalography (EEG) to characterize neural oscillations pertaining to the enhanced linguistic operations following BB stimulation. Sixty healthy young adults were randomly assigned to one of three listening groups: 18-Hz BB, 40-Hz BB, or pure-tone baseline, all embedded in music. After listening to the sound for 10 min (stimulation phase), participants underwent an auditory sentence comprehension task involving spoken sentences that contained either an object or subject relative clause (task phase). During the stimulation phase, 18-Hz BB yielded increased EEG power in a beta frequency range, while 40-Hz BB did not. During the task phase, only the 18-Hz BB resulted in significantly higher accuracy and faster response times compared with the baseline, especially on syntactically more complex object-relative sentences. The behavioral improvement by 18-Hz BB was accompanied by attenuated beta power difference between object- and subject-relative sentences. Altogether, our findings demonstrate beta oscillations as a neural correlate of improved syntactic operation following BB stimulation. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2024-51130-059&lang=es&site=ehost-live"
"Perceptual Consequences of Disrupted Auditory Nerve Activity.","Zeng, Fan-Gang; Kong, Ying-Yee; Michalewski, Henry J.; Starr, Arnold","Journal of Neurophysiology",="00223077",,="20050601","93","6","3050","14","2005-05750-020","10.1152/jn.00985.2004","American Physiological Society","Journal Article","Acoustic Nerve; Auditory Perception; Hearing Disorders; Nervous System Disorders; Consequence; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Perceptual consequences of disrupted auditory nerve activity were systematically studied in 21 subjects who had been clinically diagnosed with auditory neuropathy (AN), a recently defined disorder characterized by normal outer hair cell function but disrupted auditory nerve function. Neurological and electrophysical evidence suggests that disrupted auditory nerve activity is due to desynchronized or reduced neural activity or both. Psychophysical measures showed that the disrupted neural activity has minimal effects on intensity-related perception, such as loudness discrimination, pitch discrimination at high frequencies, and sound localization using interaural level differences. In contrast, the disrupted neural activity significantly impairs timing related perception, such as pitch discrimination at low frequencies, temporal integration, gap detection, temporal modulation detection, backward and forward masking, signal detection in noise, binaural beats, and sound localization using interaural time differences. These perceptual consequences are the opposite of what is typically observed in cochlear-impaired subjects who have impaired intensity perception but relatively normal temporal processing after taking their impaired intensity perception into account. These differences in perceptual consequences between auditory neuropathy and cochlear damage suggest the use of different neural codes in auditory perception: a suboptimal spike count code for intensity processing, a synchronized spike code for temporal processing, and a duplex code for frequency processing. We also proposed two underlying physiological models based on desynchronized and reduced discharge in the auditory nerve to successfully account for the observed neurological and behavioral data. These methods and measures cannot differentiate between these two AN models, but future studies using electric stimulation of the auditory nerve via a cochlear implant might. These results not only show the unique contribution of neural synchrony to sensory perception but also provide guidance for translational research in terms of better diagnosis and management of human communication disorders. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2005-05750-020&lang=es&site=ehost-live"
"Personalized theta and beta binaural beats for brain entrainment: An electroencephalographic analysis.","Corona-González, César E.; Alonso-Valerdi, Luz María; Ibarra-Zarate, David I.","Frontiers in Psychology",="16641078",,="20211111","12",,,,"2022-11107-001","10.3389/fpsyg.2021.764068","Frontiers Media S.A.","Journal Article","Ear (Anatomy); Electroencephalography; Personalization; Stimulation; Theta Rhythm; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Binaural beats (BB) consist of two slightly distinct auditory frequencies (one in each ear), which are differentiated with clinical electroencephalographic (EEG) bandwidths, namely, delta, theta, alpha, beta, or gamma. This auditory stimulation has been widely used to module brain rhythms and thus inducing the mental condition associated with the EEG bandwidth in use. The aim of this research was to investigate whether personalized BB (specifically those within theta and beta EEG bands) improve brain entrainment. Personalized BB consisted of pure tones with a carrier tone of 500 Hz in the left ear together with an adjustable frequency in the right ear that was defined for theta BB (since fc for theta EEG band was 4.60 Hz ± 0.70 SD) and beta BB (since fc for beta EEG band was 18.42 Hz ± 2.82 SD). The adjustable frequencies were estimated for each participant in accordance with their heart rate by applying the Brain-Body Coupling Theorem postulated by Klimesch. To achieve this aim, 20 healthy volunteers were stimulated with their personalized theta and beta BB for 20 min and their EEG signals were collected with 22 channels. EEG analysis was based on the comparison of power spectral density among three mental conditions: (1) theta BB stimulation, (2) beta BB stimulation, and (3) resting state. Results showed larger absolute power differences for both BB stimulation sessions than resting state on bilateral temporal and parietal regions. This power change seems to be related to auditory perception and sound location. However, no significant differences were found between theta and beta BB sessions when it was expected to achieve different brain entrainments, since theta and beta BB induce relaxation and readiness, respectively. In addition, relative power analysis (theta BB/resting state) revealed alpha band desynchronization in the parieto-occipital region when volunteers listened to theta BB, suggesting that participants felt uncomfortable. In conclusion, neural resynchronization was met with both personalized theta and beta BB, but no different mental conditions seemed to be achieved. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2022-11107-001&lang=es&site=ehost-live"
"Reduced pain and analgesic use after acoustic binaural beats therapy in chronic pain—A double‐blind randomized control cross‐over trial.","Gkolias, Vasileios; Amaniti, Aikaterini; Triantafyllou, Areti; Papakonstantinou, Panagiota; Kartsidis, Panagiotis; Paraskevopoulos, Evangelos; Bamidis, Panagiotis D.; Hadjileontiadis, Leontios; Kouvelas, Dimitrios","European Journal of Pain",="10903801",,="20201001","24","9","1716","14","2020-55856-001","10.1002/ejp.1615","Wiley-Blackwell Publishing Ltd.","Journal Article","Analgesia; Auditory Stimulation; Chronic Pain; Pain Management; Treatment; Drug Therapy; Adulthood (18 yrs & older); Male; Female",,"Background: Binaural Beats (BB) consist of two artificial acoustic stimuli with different frequency, presented simultaneously but independently to each ear. The human brain perceives and synchronizes to this frequency difference (entrainment). Aim of this study was to test the hypothesis that brain entrainment to a lower function rhythm, with BB application, can decrease pain perception and analgesic medication use, in chronic pain patients. Methods: In a double blind, randomized, cross‐over trial, BB at 5Hz (theta rhythm) were applied for 30 minutes, under simultaneous electroencephalogram recordings, followed by liberal, on demand use by chronic pain patients for a week, compared to sham stimulation (SS). Pain as the main outcome (numeric scale, NRS), stress (STAI) and medication usage (defined daily doses, DDD) were assessed at baseline, 30 minutes and week's end. Results: Perceived pain (NRS) was significantly reduced in BB intervention (5.6 ± 2.3 to 3.4 ± 2.6, p < 0.001), compared to SS (5.2 ± 2.1 to 4.8 ± 2.3, p = 0.78), during the first 30‐minute phase, as well as at the week's end (to 3.9 ± 2.5 compared to 5.5 ± 2.6 respectively, p < 0.001). The mean EEG theta power at 5Hz was significantly increased only during BB application. Stress was significantly reduced at 30 minutes in both interventions but remained reduced only in the BB group at the week's end. Analgesic medication consumption (DDD, g) during the week was significantly less in the BB intervention (3.9 ± 3.7 vs. 4.6 ± 4.1, p < 0.05), while reporting equal to SS mean levels of pain. Conclusions: Acoustic BB reduced pain intensity, stress and analgesic use, compared to SS, in chronic pain patients. Significance: This study provides evidence that theta rhythm binaural beats can alleviate pain intensity, both after a brief 30 minute and a longer one week on‐demand intervention. The subsequent significant reduction in analgesic medication consumption in chronic pain patients' daily living could offer a valuable tool, augmenting the effect of existing pain therapies. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2020-55856-001&lang=es&site=ehost-live"
"The impact of monaural beat stimulation on anxiety and cognition.","Chaieb, Leila; Wilpert, Elke C.; Hoppe, Christian; Axmacher, Nikolai; Fell, Juergen","Frontiers in Human Neuroscience",="16625161",,="20170515","11",,,,"2017-24129-001","10.3389/fnhum.2017.00251","Frontiers Media S.A.","Journal Article","Anxiety; Emotional States; Long Term Care; Short Term Memory; Adulthood (18 yrs & older); Male; Female",,"Application of auditory beat stimulation has been speculated to provide a promising new tool with which to alleviate symptoms of anxiety and to enhance cognition. In spite of reportedly similar EEG effects of binaural and monaural beats, data on behavioral effects of monaural beats are still lacking. Therefore, we examined the impact of monaural beat stimulation on anxiety, mood and memory performance. We aimed to target states related to anxiety levels and general well-being, in addition to long-term and working memory processes, using monaural beats within the range of main cortical rhythms. Theta (6 Hz), alpha (10 Hz) and gamma (40 Hz) beat frequencies, as well as a control stimulus were applied to healthy participants for 5 min. After each stimulation period, participants were asked to evaluate their current mood state and to perform cognitive tasks examining long-term and working memory processes, in addition to a vigilance task. Monaural beat stimulation was found to reduce state anxiety. When evaluating responses for the individual beat frequencies, positive effects on state anxiety were observed for all monaural beat conditions compared to control stimulation. Our results indicate a role for monaural beat stimulation in modulating state anxiety and are in line with previous studies reporting anxiety-reducing effects of auditory beat stimulation. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2017-24129-001&lang=es&site=ehost-live"
"Tracking EEG changes in response to alpha and beta binaural beats.","Vernon, D.; Peryer, G.; Louch, J.; Shaw, M.","International Journal of Psychophysiology",="01678760",,="20140701","93","1","134","6","2012-29693-001","10.1016/j.ijpsycho.2012.10.008","Elsevier Science","Journal Article","Alpha Rhythm; Auditory Stimulation; Electroencephalography; Beta Rhythm; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"A binaural beat can be produced by presenting two tones of a differing frequency, one to each ear. Such auditory stimulation has been suggested to influence behaviour and cognition via the process of cortical entrainment. However, research so far has only shown the frequency following responses in the traditional EEG frequency ranges of delta, theta and gamma. Hence a primary aim of this research was to ascertain whether it would be possible to produce clear changes in the EEG in either the alpha or beta frequency ranges. Such changes, if possible, would have a number of important implications as well as potential applications. A secondary goal was to track any observable changes in the EEG throughout the entrainment epoch to gain some insight into the nature of the entrainment effects on any changes in an effort to identify more effective entrainment regimes. Twenty two healthy participants were recruited and randomly allocated to one of two groups, each of which was exposed to a distinct binaural beat frequency for ten 1-minute epochs. The first group listened to an alpha binaural beat of 10Hz and the second to a beta binaural beat of 20 Hz. EEG was recorded from the left and right temporal regions during pre-exposure baselines, stimulus exposure epochs and post-exposure baselines. Analysis of changes in broad-band and narrow-band amplitudes, and frequency showed no effect of binaural beat frequency eliciting a frequency following effect in the EEG. Possible mediating factors are discussed and a number of recommendations are made regarding future studies, exploring entrainment effects from a binaural beat presentation. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib,uid&db=psyh&AN=2012-29693-001&lang=es&site=ehost-live"
