PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26612201","More attentional focusing through binaural beats: evidence from the global-local task","Colzato LS, Barone H, Sellaro R, Hommel B.","Psychol Res. 2017 Jan;81(1):271-277. doi: 10.1007/s00426-015-0727-0. Epub 2015 Nov 26.","Colzato LS","Psychol Res","2017","2015/11/28","PMC5233742","","10.1007/s00426-015-0727-0"
"25448376","Analysis of EEG activity in response to binaural beats with different frequencies","Gao X, Cao H, Ming D, Qi H, Wang X, Wang X, Chen R, Zhou P.","Int J Psychophysiol. 2014 Dec;94(3):399-406. doi: 10.1016/j.ijpsycho.2014.10.010. Epub 2014 Oct 31.","Gao X","Int J Psychophysiol","2014","2014/12/03","","","10.1016/j.ijpsycho.2014.10.010"
"38629490","Effect of dynamic binaural beats on sleep quality: a proof-of-concept study with questionnaire and biosignals","Lee HA, Lee WJ, Kim SU, Kim H, Ahn M, Kim J, Kim DW, Yun CH, Hwang HJ.","Sleep. 2024 Oct 11;47(10):zsae097. doi: 10.1093/sleep/zsae097.","Lee HA","Sleep","2024","2024/04/17","","","10.1093/sleep/zsae097"
"2065245","Absence of both auditory evoked potentials and auditory percepts dependent on timing cues","Starr A, McPherson D, Patterson J, Don M, Luxford W, Shannon R, Sininger Y, Tonakawa L, Waring M.","Brain. 1991 Jun;114 ( Pt 3):1157-80. doi: 10.1093/brain/114.3.1157.","Starr A","Brain","1991","1991/06/01","","","10.1093/brain/114.3.1157"
"26065708","Electrical Brain Responses to an Auditory Illusion and the Impact of Musical Expertise","Ioannou CI, Pereda E, Lindsen JP, Bhattacharya J.","PLoS One. 2015 Jun 12;10(6):e0129486. doi: 10.1371/journal.pone.0129486. eCollection 2015.","Ioannou CI","PLoS One","2015","2015/06/13","PMC4466486","","10.1371/journal.pone.0129486"
"32564499","Reduced pain and analgesic use after acoustic binaural beats therapy in chronic pain - A double-blind randomized control cross-over trial","Gkolias V, Amaniti A, Triantafyllou A, Papakonstantinou P, Kartsidis P, Paraskevopoulos E, Bamidis PD, Hadjileontiadis L, Kouvelas D.","Eur J Pain. 2020 Oct;24(9):1716-1729. doi: 10.1002/ejp.1615. Epub 2020 Jul 27.","Gkolias V","Eur J Pain","2020","2020/06/22","","","10.1002/ejp.1615"
"22254439","Auditory evoked responses to binaural beat illusion: stimulus generation and the derivation of the Binaural Interaction Component (BIC)","Ozdamar O, Bohorquez J, Mihajloski T, Yavuz E, Lachowska M.","Annu Int Conf IEEE Eng Med Biol Soc. 2011;2011:830-3. doi: 10.1109/IEMBS.2011.6090190.","Ozdamar O","Annu Int Conf IEEE Eng Med Biol Soc","2011","2012/01/19","","","10.1109/IEMBS.2011.6090190"
"21480784","A quantitative electroencephalographic study of meditation and binaural beat entrainment","Lavallee CF, Koren SA, Persinger MA.","J Altern Complement Med. 2011 Apr;17(4):351-5. doi: 10.1089/acm.2009.0691. Epub 2011 Apr 11.","Lavallee CF","J Altern Complement Med","2011","2011/04/13","","","10.1089/acm.2009.0691"
"31451833","Event-related potentials to single-cycle binaural beats of a pure tone, a click train, and a noise","Ungan P, Yagcioglu S, Ayik E.","Exp Brain Res. 2019 Nov;237(11):2811-2828. doi: 10.1007/s00221-019-05638-4. Epub 2019 Aug 26.","Ungan P","Exp Brain Res","2019","2019/08/28","","","10.1007/s00221-019-05638-4"
"17388762","Binaural beat technology in humans: a pilot study to assess neuropsychologic, physiologic, and electroencephalographic effects","Wahbeh H, Calabrese C, Zwickey H, Zajdel D.","J Altern Complement Med. 2007 Mar;13(2):199-206. doi: 10.1089/acm.2006.6201.","Wahbeh H","J Altern Complement Med","2007","2007/03/29","","","10.1089/acm.2006.6201"
"32653082","Brainwave entrainment to minimise sedative drug doses in paediatric surgery: a randomised controlled trial","Schmid W, Marhofer P, Opfermann P, Zadrazil M, Kimberger O, Triffterer L, Marhofer D, Klug W.","Br J Anaesth. 2020 Sep;125(3):330-335. doi: 10.1016/j.bja.2020.05.050. Epub 2020 Jul 8.","Schmid W","Br J Anaesth","2020","2020/07/13","","","10.1016/j.bja.2020.05.050"
"15615831","Perceptual consequences of disrupted auditory nerve activity","Zeng FG, Kong YY, Michalewski HJ, Starr A.","J Neurophysiol. 2005 Jun;93(6):3050-63. doi: 10.1152/jn.00985.2004. Epub 2004 Dec 22.","Zeng FG","J Neurophysiol","2005","2004/12/24","","","10.1152/jn.00985.2004"
"24945673","Mismatch negativity to acoustical illusion of beat: how and where the change detection takes place?","Chakalov I, Paraskevopoulos E, Wollbrink A, Pantev C.","Neuroimage. 2014 Oct 15;100:337-46. doi: 10.1016/j.neuroimage.2014.06.026. Epub 2014 Jun 16.","Chakalov I","Neuroimage","2014","2014/06/20","","","10.1016/j.neuroimage.2014.06.026"
"39478090","Binaural beats at 0.25 Hz shorten the latency to slow-wave sleep during daytime naps","Fan Z, Zhu Y, Suzuki C, Suzuki Y, Watanabe Y, Watanabe T, Abe T.","Sci Rep. 2024 Oct 30;14(1):26062. doi: 10.1038/s41598-024-76059-9.","Fan Z","Sci Rep","2024","2024/10/31","PMC11525714","","10.1038/s41598-024-76059-9"
"23716235","Off-frequency BMLD: the role of monaural processing","van de Par S, Luebken B, Verhey JL, Kohlrausch A.","Adv Exp Med Biol. 2013;787:293-301. doi: 10.1007/978-1-4614-1590-9_33.","van de Par S","Adv Exp Med Biol","2013","2013/05/30","","","10.1007/978-1-4614-1590-9_33"
"23862643","Brainwave entrainment for better sleep and post-sleep state of young elite soccer players - a pilot study","Abeln V, Kleinert J, Strüder HK, Schneider S.","Eur J Sport Sci. 2014;14(5):393-402. doi: 10.1080/17461391.2013.819384. Epub 2013 Jul 18.","Abeln V","Eur J Sport Sci","2014","2013/07/19","","","10.1080/17461391.2013.819384"
"38641736","Outcome measures of brainwave entrainment using delta wave stimulation in individuals with tinnitus having normal hearing sensitivity","Prakash P, Konadath S.","Eur Arch Otorhinolaryngol. 2024 Jul;281(7):3821-3828. doi: 10.1007/s00405-024-08641-w. Epub 2024 Apr 19.","Prakash P","Eur Arch Otorhinolaryngol","2024","2024/04/19","","","10.1007/s00405-024-08641-w"
"26737340","The brain responses to different frequencies of binaural beat sounds on QEEG at cortical level","Jirakittayakorn N, Wongsawat Y.","Annu Int Conf IEEE Eng Med Biol Soc. 2015;2015:4687-91. doi: 10.1109/EMBC.2015.7319440.","Jirakittayakorn N","Annu Int Conf IEEE Eng Med Biol Soc","2015","2016/01/07","","","10.1109/EMBC.2015.7319440"
"19164111","Representation of dynamic interaural phase difference in auditory cortex of awake rhesus macaques","Scott BH, Malone BJ, Semple MN.","J Neurophysiol. 2009 Apr;101(4):1781-99. doi: 10.1152/jn.00678.2007. Epub 2009 Jan 21.","Scott BH","J Neurophysiol","2009","2009/01/24","PMC2695633","","10.1152/jn.00678.2007"
"9401096","[Intraoperative pain stimuli change somatosensory evoked potentials, but not auditory evoked potentials during isoflurane/nitrous oxide anesthesia]","Rundshagen I, Kochs E, Bischoff P, Schulte am Esch J.","Anasthesiol Intensivmed Notfallmed Schmerzther. 1997 Oct;32(10):604-9. doi: 10.1055/s-2007-995115.","Rundshagen I","Anasthesiol Intensivmed Notfallmed Schmerzther","1997","1997/12/17","","","10.1055/s-2007-995115"
"9854329","[Effect of remifentanil on clinical and electroencephalographic parameters of depth of anesthesia in balanced anesthesia with propofol, enflurane or isoflurane]","Bischoff P, Plümer L, Scholz J, Drögemeier K, von Knobelsdorff G, Schulte am Esch J.","Anaesthesiol Reanim. 1998;23(5):116-23.","Bischoff P","Anaesthesiol Reanim","1998","1998/12/17","","",""
